Judul Berita,Content,themes,author
Kebakaran Landa Lapak Limbah Oli dan Rumah Warga di Tangerang,"Kebakaran melanda lapak limbah oli dan rumah warga di Bencongan Indah, Kelapa Dua, Kabupaten Tangerang, Rabu (17/5) malam. ;Kebakaran tersebut pertama kali dilaporkan oleh warga. Berdasarkan laporan, penyebab kebakaran diduga berasal dari tumpukan drum oli. ;""Menurut informasi pelapor, penyebab terjadinya kebakaran berawal dari tumpukan drum oli di lapak limbah oli yang memang lapak limbah oli tersebut sangat berdempetan dengan rumah tinggal warga,"" kata Kepala BPBD Kabupaten Tangerang Ujat Sudrajat dalam keterangannya. ;Disampaikan Ujat, sampai saat ini proses pemadaman masih terus berlangsung. Namun, belum diketahui berapa unit mobil pemadam kebakaran dan personel yang diterjunkan ke lokasi. ;""Saat ini api masih dalam situasi merah, dan sedang dilakukan pemadaman oleh anggota di TKP,"" ucap Ujat. ;Ujat turut menyampaikan akses jalan yang sempit menuju ke lokasi menjadi kendala dalam upaya memadamkan si jago merah. ;""Sehingga hanya mobil unit kecil (3000 L) yang bisa keluar masuk. Untuk saat ini sedang dikoordinasikan untuk pembukaan jalan unit besar dengan menghancurkan tembok pembatas rumah warga,"" tuturnya.",kebakaran,CNN Indonesia
"Kebakaran Rumah Makan Jasunda BSD, 1 Karyawan Alami Luka Bakar","Kebakaran melanda rumah makan Jasunda di kawasan BSD, Tangerang Selatan, Jumat (12/5) pagi. Satu orang karyawan mengalami luka bakar dalam peristiwa tersebut. ;""Ada satu, kami belum terdeteksi identitas, luka bakar atau terkena jilat api. Itu karyawannya,"" kata Komandan Peleton (Danton) Damkar Tangsel, Imam, dikutip dari detikcom. ;Imam mengatakan kebakaran terjadi sekitar pukul 08.15 WIB. Total sebanyak 5 unit dan 20 personel dikerahkan untuk memadamkan kobaran api. Proses pemadaman berlangsung kurang lebih 30 menit. ;""Yang terbakar hanya 20 persen. Yang kebakar cuman tempat lesehan saja. Itu berdampingan dengan dapur,"" ujarnya. ;Dugaan sementara, kata Imam, api bersumber dari kebocoran gas yang berada di dapur tempat karyawan memasak. ;""Analisa kita secepat itu karyawan kan sudah masak, itu kebocoran gas. Belum tahu teknisnya bagaimana selangnya pecah atau bagaimana pemasangan awal langsung nyamber kaget apinya,"" katanya. ;Seorang saksi mata bernama Hisyam Diah mengatakan kebakaran tersebut terjadi sekitar pukul 08.15 WIB. Api dengan cepat merambat dan membakar bangunan semi permanen di rumah makan tersebut. ;""Kebakaran terjadi cepet banget, jam 08.00 pagi dari kecil, membesar cepat dalam waktu 15 menit,"" kata Hisyam. ;Hisyam melihat kebakaran tersebut saat dalam perjalanan menuju ke kantornya. Terjadi ledakan kecil saat kebakaran terjadi. Hisyam menduga hal itu berasal dari kayu yang terbakar. ;""Iya ada letupan, kecil sih, bukan kayak ledakan yang gimana-gimana. Kayaknya itu dari kayu,"" katanya. ;Baca berita selengkapnya di sini.",kebakaran,CNN Indonesia
"RSUD Abepura Papua Kebakaran, Tiga Orang Dilaporkan Tewas","Kebakaran terjadi Rumah Sakit Umum Daerah (RSUD) Abepura, Kota Jayapura, Papua, diduga menewaskan tiga orang. ;""Ada informasi ada korban meninggal dunia itu tiga orang. Terdiri dari satu wanita, dua pria,"" kata Kabid Damkar Kota Jayapura Margaretha Veronika Kirana, dikutip dari detikcom, Selasa (9/5/2023). ;Margaretha tidak merinci identitas korban maupun pemicu kebakaran di RSUD Abepura. Dia bilang hal itu jadi ranah polisi.  ;""Kami belum dapat informasi karena itu menjadi ranah dari teman-teman kepolisian. Tapi apakah itu keluarga pasien atau pasien sendiri kami belum tahu,"" ujarnya. ;Margaretha menambahkan pihaknya mengantisipasi kebakaran susulan karena sumber api diduga dari gudang penyimpanan barang. Dia mengaku masih berada di lokasi kebakaran. ; ;Baca selengkapnya di sini... ;",kebakaran,CNN Indonesia
Api Masih Berkobar di Lokasi Kebakaran Pabrik Cat Jakut,"Kebakaran yang melanda pabrik tempat peracikan cat di Jalan Bandengan Utara Raya, Penjaringan, Jakarta Utara sudah berlangsung selama kurang lebih lima jam. ;Kepala Dinas Gulkarmat DKI Jakarta Satriadi Gunawan mengatakan saat ini pihaknya sudah melakukan proses pendinginan. Namun, terpantau api masih berkobar di lokasi tersebut. ;""Iya sudah mulai padam, tapi masih ada titik api,"" kata Satriadi saat dikonfirmasi, Senin (8/5). ;Satriadi menerangkan ada sejumlah kendala yang dihadapi oleh petugas dalam upaya pemadaman ini. Mulai dari luas area yang terbakar yakni 70x30 meter, banyak tumpukan cat siap jual, hingga konstruksi bangunan yang sudah tak stabil. ;""Kemungkinan butuh waktu yang cukup lama untuk pemadamannya, kami pastikan potensi perambatan sudah dapat kami lokalisir,"" ucap dia. ;Lebih lanjut, Satriadi mengungkapkan hingga saat ini belum ada laporan terkait korban jiwa maupun luka dalam insiden ini. Namun, ada satu petugas damkar yang keseslo saat proses pemadaman. ;""Hanya ada anggota yang keseleo pinggangnya,"" ujarnya. ;Sebelumnya, seorang karyawan pabrik A menyampaikan berdasarkan keterangan S yang bersangkutan melihat kebakaran tersebut berasal dari lantai dua bangunan, bukan dari lantai dasar yang merupakan ruang produksi cat. ;Menurutnya, S melihat asap tebal dari dalam plafon atas lantai dua bangunan sekitar pukul 14.00 WIB. ;Melihat ada asap dari plafon lantai dua, seluruh karyawan pabrik di lantai dua langsung ke luar menyelamatkan diri. Sementara S yang bertahan di lantai dua tersebut berupaya memadamkan api dengan alat pemadam api ringan. ;Namun, api semakin membesar karena material yang mudah terbakar sehingga S langsung menghubungi Sudin Gulkarmat Jakarta Utara untuk meminta bantuan.",kebakaran,CNN Indonesia
"Kebakaran di Pabrik Peracik Cat di Jakut, 35 Damkar Dikerahkan","Sebanyak 35 unit pemadam beserta 150 personel Dinas Penanggulangan Kebakaran dan Penyelamatan DKI Jakarta memadamkan kebakaran tempat peracikan cat di Jalan Bandengan Utara Raya, Penjaringan, Jakarta Utara sekitar pukul 14.15 WIB, Senin (8/5). ;""Kami sudah mengerahkan sekitar 35 unit dengan jumlah personel sekitar 150 orang. Saat ini titik api sudah berhasil kami lokalisir,"" kata Kepala Dinas Gulkarmat DKI Jakarta Satriadi Gunawan di Jakarta Utara. ;Satriadi menerangkan proses pemadaman api belum usai selama hampir tiga jam karena cat merupakan material kimia yang mudah terbakar dan petugas kesulitan mencari sumber air di sekitar lokasi. ;Namun, ketika sumber air ditemukan, petugas Dinas Gulkarmat DKI Jakarta langsung sigap melokalisir titik api. Petugas menggunakan berbagai alat pemadaman khusus seperti penyemprot busa (foam) hingga mekanisme pemadaman dari udara menggunakan stik. ;Belum diketahui total kerugian maupun penyebab pasti kebakaran tersebut. Namun satu orang petugas pemadaman sempat dievakuasi petugas medis ke rumah sakit terdekat karena terkilir saat melakukan pemadaman. ;Menurut Satriadi, luas area yang terbakar sekitar 2.100 meter persegi. Saat ini tinggal setengah sisi bangunan lagi yang belum dipadamkan oleh petugas di lapangan. Kendalanya adalah konstruksi bangunan yang rapuh akibat terbakar, sehingga menyulitkan untuk masuk ke dalam. ;Untungnya, dua mobil tangki tiner dari lokasi berhasil diamankan untuk mencegah terkena api yang dapat memicu ledakan. ;Menurut karyawan pabrik A (43), rekannya S melihat kebakaran tersebut berasal dari lantai dua bangunan, bukan dari lantai dasar yang merupakan ruang produksi cat. ;Kata dia, S melihat asap tebal dari dalam plafon atas lantai dua bangunan sekitar pukul 14.00 WIB. ;Melihat ada asap dari plafon lantai dua, seluruh karyawan pabrik di lantai dua langsung ke luar menyelamatkan diri. Sementara S yang bertahan di lantai dua tersebut berupaya memadamkan api dengan alat pemadam api ringan. ;Tetapi api semakin membesar karena material yang mudah terbakar sehingga S langsung menghubungi Sudin Gulkarmat Jakarta Utara untuk meminta bantuan. ;Dia juga memastikan saat berupaya menyelamatkan diri, di lantai atas bangunan sudah tidak terdapat karyawan. ;Isi ruangan di lantai dua bangunan yang terbakar adalah berbagai peralatan kantor seperti komputer dan peralatan administrasi perkantoran. ;Api diduga pertama muncul saat karyawan sedang beristirahat sekitar jam 12.00 - 13.00 WIB. Adapun jam kerja berlangsung dari 07.30 hingga 16.30 WIB.",kebakaran,CNN Indonesia
Kerugian Kebakaran Malang Plaza Diperkirakan Capai Rp56 Miliar,"Jumlah kerugian kebakaran Mal Malang Plaza diperkirakan mencapai Rp56 miliar. Angka itu masih hitungan sementara. ;""Kami coba hitung angkanya, kalkulasi sementara dari pelapor yang ada untuk kerugian Rp56 miliar,"" kata Kepala BPBD Kota Malang, Prayitno, Rabu (3/5). ;Angka itu, kata dia, didapat dari 145 aduan dari pemilik stan yang sudah melapor melalui posko. Namun belum termasuk Variety Departemen Store dan Bioskop 21 Cinema yang hingga kini diketahui belum membuat laporan. ;""Untuk yang Variety dan 21 Cinema kami belum ketemu,"" ujarnya. ;Korban atau pemilik stan di Mal Gadget Malang Plaza hingga saat ini masih terus berdatangan ke posko aduan yang telah disiapkan. ;Salah satu yang ditemui awak media, yakni pemilik tujuh stan handphone di Mal Gadget Malang Plaza bernama Alexander. Lima di antaranya hangus. Dari lima stan milik Alexander yang berada di dalam, diperkirakan mengalami kerugian mencapai Rp4 miliar. ;Sebab, di dalam stan masih terdapat ratusan barang berupa ponsel, peralatan servis, laptop dan 15 unit sepeda motor listrik termasuk dua mobil operasional miliknya jenis Minibus Daihatsu Xenia dan Toyota Calya. ;""Yang di dalam ini sepertinya ludes terbakar semua, termasuk yang di brankas itu kondisinya kan di dalam panas. Jadi kemungkinan tidak selamat,"" bebernya. ;Dengan peristiwa ini, Alexander berharap pihak manajemen Mal Malang Plaza bisa memberikan solusi untuk dia dan para penyewa yang lain. ;""Harapannya ada kejelasan dari pihak Malang Plaza seperti apa. Ada gantinya ya kami juga harap, tapi sebaiknya ada win-win solution seperti apa,"" tandasnya. ;Tim Labfor Polda Jawa Timur (Jatim) mengaku kesulitan melakukan penyelidikan penyebab kebakaran di Mal Malang Plaza. Mereka diketahui berada di dalam gedung yang hangus terbakar itu selama dua jam. Setelahnya mereka meninggalkan lokasi. ;Ketua Tim Labfor Polda Jatim, Kombes Pol Joko Siswanto mengatakan pihaknya masih belum bisa mencari titik awal api untuk mengungkap penyebab kebakaran. ;Pasalnya, kata Joko, saat pihaknya masuk ke gedung, lantai dua dan tiga mal masih mengeluarkan hawa panas. Penyelidik pun kesulitan, karena belum aman untuk dimasuki. ;""Lokasi masih panas, jadi mencari penyebab belum bisa. Khususnya di lantai dua dan tiga. Kita utamakan safety dan di dalam masih panas,"" kata Joko. ;Selama hampir dua jam ini, pihaknya masih melakukan pengecekan di lantai satu. Karena itu dia belum bisa menyebutkan penyebab terjadinya kebakaran yang melanda seluruh gedung tersebut. ;Apalagi, kata dia, hingga kini Tim Labfor juga belum mengamankan barang-barang dan bukti apapun. ;""Sudah kami sampaikan ke Kasat [Reskrim Polresta Malang Kota]. Jadi saya belum bisa jawab dan belum ada barang yang kami amankan juga,"" ucapnya. ;Sementara, Kasatreskrim Polresta Malang Kota, Kompol Bayu Febrianto Prayoga mengatakan penyelidikan dihentikan sementara, dan bakal dilanjutkan besok. ;""Belum bisa ke ruangan, masih panas. Barang juga belum ada yang di bawa. Mungkin kami lanjut besok,"" ucap dia. ;Ia pun berkoordinasi dengan Dinas Pemadam Kebakaran Kota Malang untuk terus melakukan pendinginan ulang agar penyelidikan besok berjalan lancar dan tak ada halangan. ;""Damkar lakukan pendinginan lagi, sudah masuk ke dalam dari tadi. Kalau lanjutnya, besok mungkin pagi seperti tadi,"" tandasnya.",kebakaran,CNN Indonesia
"Gudang Makanan di Makassar Terbakar, Diduga Arus Pendek","Sebuah gudang makanan yang berada di Kawasan Industri Makassar (KIMA) hangus dilalap api. Dinas Pemadam Kebakaran (Damkar) Makassar mengerahkan 20 unit mobil pemadam. ;Penyebab kebakaran yang menimpa gudang makanan tersebut diduga disebabkan arus pendek listrik. Api berkobar menyambar isi gudang yang mudah terbakar. ;""Sekitar 20 unit, tiga kali bolak-balik, kita juga support menggunakan busa,"" kata Kepala Seksi Operasi Damkar Makassar Andi Akbar Ikhsan, Selasa (2/5). ;Proses pemadaman gudang makanan tersebut, kata Ikhsan, berlangsung selama empat jam. Api pun berhasil dipadamkan. ;""Terbakar itu kayak kaleng-kaleng gudang kemasan kepiting informasi yang kami terima. Sekarang masih tahap penyiraman tapi sudah tidak membahayakan, sekitar kurang lebih 4 jam proses pemadaman,"" ujarnya. ;Menurut Ikhsan pihaknya mengalami kesulitan lantaran banyaknya barang-barang yang mudah terbakar di dalam kawasan gudang. ;""Kendala di dalam tumpukan kaleng memang membuat kami kesulitan, terus sumber air sulit kami dapat, tapi kita mengusahakan di dekat RS daya untuk pengisapan air,"" katanya. ;Terpisah, Corporate sekertaris PT Kima Makassar Jumriani mengatakan kebakaran tersebut terjadi di luar jam kerja. ;""Penyebab kebakaran masih diselidiki tapi ada dugaan kemungkinan dari arus pendek. Tapi ini terjadi di luar jam kerja, tidak ada akitivitas,"" kata Jumriani. ;Jumriani memastikan tak ada korban jiwa dalam kejadian tersebut. Sementara kerugian material masih dalam pendataan. ;""Tidak ada korban jiwa. Kalau kerugian masih proses pendalaman pihak polisi,"" ujarnya.",kebakaran,CNN Indonesia
Polisi Selidiki Sumber Api Kebakaran Gedung Malang Plaza,"Polresta Malang Kota mencari sumber api yang memicu kebakaran di Malang Plaza, Jalan Agus Salim, Kecamatan Klojen, Kota Malang, Jawa Timur. ;""Kami akan memeriksa sumber api dari mana, titik api dari mana, sumber kebakaran seperti apa,"" Kapolresta Malang Kota, Kombes Budi Hermanto, Selasa (2/5). ;Bhudi mengatakan Tim Laboratorium Forensik (Labfor) Polda Jawa Timur yang akan menyelidiki lebih lanjut penyebab kebakaran. Dugaan sementara api berasal dari lantai tiga gedung Malang Plaza. ;""Dari informasi, titik api berasal diduga dari lantai tiga. Tapi pastinya besok kami akan mendatangkan Tim Labfor dari Polda Jatim,"" ujarnya. ;Salah satu pusat perbelanjaan Malang Plaza mengalami kebakaran pada Selasa 2 Mei 2023, sekitar pukul 00.30 WIB dini hari. ;Kebakaran gedung yang terletak di Jalan Agus Salim, Kecamatan Klojen, Kota Malang tersebut melalap habis seisi gedung. ;Malang Plaza sendiri berdiri sejak 1980-an. Dulunya, Malang Plaza menjadi pusat belanja pakaian dan sentra hiburan masyarakat.",kebakaran,CNN Indonesia
"Asrama Polisi di Manado Kebakaran, Tidak Ada Korban Jiwa","kebakaran terjadi di kompleks asrama polisi (Aspol) Wanea, Kota Manado, Sulawesi Utara pada Selasa (2/5) pagi sekitar pukul 09.45 WITA. ;Sejumlah rumah dilalap api tepatnya di blok E yakni E33, E35, E37, E39 dan blok F yakni F14, F16, F18, F20. Tidak ada korban jiwa dalam peristiwa tersebut dan kerugian material masih dalam pendataan. ;Kapolda Sulawesi Utara (Sulut) Irjen Pol Setyo Budiyanto mendatangi lokasi tempat kejadian perkara (TKP) kebakaran usai kejadian. ;""Selasa, pagi ini, jajaran Polda Sulut mendapatkan musibah karena terdapat delapan unit rumah di Aspol Wanea terbakar,"" kata Setyo di lokasi kejadian, didampingi Kapolresta Manado Kombes Pol Julianto Sirait. ;Dia mengatakan penyebab pasti kebakaran masih dalam penyelidikan pihak kepolisian. ;""Penyebabnya tentu masih dilakukan penyelidikan yang lebih intensif lagi. Sumber apinya berasal dari apa, apakah ada dari faktor listrik, kompor atau mungkin dari sumber-sumber yang lain,"" katanya. ;Dia menambahkan sampai saat ini belum bisa memastikan sumber api tersebut. Ia memerintahkan jajaran Ditreskrimum Polda Sulut untuk turun ke TKP. ;""Di Ditreskrimum kan ada Inafis, nanti turun ke lapangan untuk melakukan pengecekan, mencari sumber api yang menyebabkan terbakarnya delapan unit rumah ini,"" katanya. ;Dia mengatakan pada peristiwa ini, api cepat menjalar ke beberapa rumah lainnya karena tiupan angin yang cukup kencang saat kejadian. ;""Memang cuaca juga sangat mempengaruhi karena dalam keadaan panas, kemudian angin juga cukup kencang sehingga api cepat merembet ke beberapa rumah yang lain,"" katanya. ;Kapolda turut mengimbau seluruh penghuni asrama dan masyarakat untuk mewaspadai terjadinya kebakaran, salah satunya dengan menyiapkan alat pemadam kebakaran (APK) secara swadaya atau secara mandiri. ;""APK ini kelihatannya sepele, tapi penting, karena untuk mengantisipasi dan penanganan pertama sebelum unit pemadam kebakaran datang. Jadi kalau api masih kecil diharapkan dengan unit APK yang sudah disiapkan oleh masing-masing rumah itu bisa tertangani,"" katanya. ;Selain itu, warga juga diminta untuk memperhatikan instalasi dan pembagian beban arus listrik harus seimbang. ;Kapolda juga memerintahkan Direktur Samapta dan Dansatbrimob Polda Sulut untuk menyiapkan tenda serta bantuan sementara bagi yang tertimpa musibah kebakaran. ;""Tentu ini masalah karena tidak ada tempat lagi bagi mereka untuk bisa bernaung. Sementara nanti kami akan siapkan tenda di tempat ini atau dicarikan tempat yang representatif. Dan kami akan coba juga dengan bantuan-bantuan yang lain, termasuk bekerjasama dengan Pemkot Manado untuk bisa mendukung dan membantu khususnya warga yang tertimpa musibah ini,"" katanya. ;Informasi diperoleh dari Polsek Wanea melalui Humas Polresta Manado menyebutkan, kebakaran terjadi sekitar pukul 09.45 WITA, tepatnya di blok E yakni E33, E35, E37, E39 dan blok F yakni F14, F16, F18, F20. ;Ada delapan unit mobil pemadam kebakaran Pemkot Manado dan satu unit mobil AWC Ditsamapta Polda Sulut diturunkan ke lokasi untuk memadamkan 'si jago merah'. ;Sekitar pukul 12.30 WITA, api berhasil dipadamkan.",kebakaran,CNN Indonesia
"Malang Plaza Terbakar, 15 Unit Mobil Damkar Diterjunkan","Malang Plaza, Jawa Timur terbakar. Sebanyak 15 unit mobil pemadam kebakaran (Damkar) diterjunkan untuk memadamkan api. ;Kebakaran gedung pusat perbelanjaan elektronik di Jalan Agus Salim, Kecamatan Klojen, Kota Malang itu dilaporkan terjadi pada Selasa (2/5) pukul 02.00 WIB. ;""Untuk personel puluhan dan armada lebih dari 15 kendaraan kita kerahkan semua untuk memadamkan,"" kata Kepala UPT Damkar Kota Malang M Teguh Budi Wibowo seperti dikutip dari Detik, Selasa (2/5). ;Dia mengaku hingga pukul 06.34 WIB, api masih membesar. Petugas masih berjibaku memadamkan api. ;""Masih ada api,"" singkatnya. ;Malang Plaza berdiri sejak 1980-an. Dulunya, Malang Plaza menjadi pusat belanja pakaian dan sentra hiburan masyarakat. ;Kini, gedung itu beralih menjadi pusat belanja barang elektronik dan gawai dan juga gedung Bioskop Mandala legendaris yang masih beroperasi hingga kini. ;Baca Berita Selengkapnya di sini. ;",kebakaran,CNN Indonesia
Tiga Hari Semburan Api di Rest Area Tol Cipali Masih Berkobar,"Kepolisian Resor Subang mengatakan semburan api di rest area KM 86 B Tol Cikopo-Palimanan (Cipali) di wilayah Kabupaten Subang, Jawa Barat, hingga Jumat (28/4) masih belum padam.Semburan api itu muncul dari sumur air di kawasan tempat parkir kendaraan rest area tersebut pada Rabu (26/4) sekitar pukul 08.30 WIB. ;""Belum padam,"" kata Kapolres Subang AKBP Sumarni saat dihubungi di Bandung, Jawa Barat. ;Sumarni mengatakan pihaknya bersama dinas terkait hingga pihak Pertamina telah berupaya untuk melakukan penanggulangan semburan api di sumur air rest area tersebut dengan mempertimbangkan risiko terkecil. ;Menurut dia penanganan awal yang sudah dilakukan yakni evakuasi warga yang berada di dalam rest area, penutupan rest area KM 86B, hingga pemasangan garis polisi di seputar area semburan api.Di samping itu, menurutnya tim tenaga kesehatan berjaga di lokasi guna mengantisipasi kedaruratan keperluan medis selama upaya pemadaman semburan api itu.Berdasarkan hasil rapat bersama tim terpadu, ujarnya, penanggulangan fenomena itu akan dilakukan menggunakan metode capping di area semburan api. ;""Dengan mengalirkan gas dari sumur air melalui pipa-pipa yang sedang didesain oleh tim ahli dan teknis dari Pertamina EP. Tim lainnya membantu pelaksanaan eksekusi pekerjaan,"" kata dia.Sebelumnya, Direktorat Lalu Lintas Polda Jawa Barat pun telah menutup sementara Rest Area KM 86 Tol Cipali itu demi keamanan masyarakat. Polisi pun memastikan adanya fenomena itu tidak mengganggu kelancaran arus balik Lebaran 2023.",kebakaran,CNN Indonesia
"VIDEO: Semburan Api Rest Area Tol Cipali Belum Padam, Pedagang Merugi","Semburan api di rest area km 86-B Tol Cipali di Subang Jawa Barat, hingga kini masih menyala. Akibatnya, pengelola masih menutup rest area dari para pemudik, serta kehilangan penghasilan hingga tujuh juga per harinya.",kebakaran,CNN Indonesia
"Viral Video Kebakaran di Jakut, Damkar DKI Jakarta Tegaskan Hoaks","Dinas Penanggulangan Kebakaran dan Penyelamatan Provinsi DKI Jakarta menegaskan video kebakaran di Kampung Bandan, Kelurahan Ancol, Kecamatan Pademangan, Jakarta Utara, yang viral beredar dengan narasi kejadian hari ini merupakan informasi tidak benar alias hoaks. ;Melalui akun Instagram @humasjakfire, Damkar DKI Jakarta memastikan video kebakaran yang beredar itu merupakan peristiwa yang terjadi pada 5 Juli 2018 sekitar pukul 13.25 WIB. ;Dalam video berdurasi 1 menit yang beredar, terliihat api membumbung tinggi disertai gumpalan asap hitam. Sejumlah warga berlarian di jalan dan terlihat sejumlah petugas pemadam kebakaran menjalankan tugasnya. ;""Kami mencari kebenaran dari video tersebut melalui data command center Dinas Penanggulangan Kebakaran dan Penyelamatan Provinsi DKI Jakarta, dan dipastikan bahwa video yang mengatakan terjadi pada hari ini di lokasi tersebut adalah tidak benar,"" kata Humas Jakfire, Kamis (27/4). ;[Gambas:Instagram] ;Mereka selanjutnya menginformasikan detail yang menjelaskan video yang beredar adalah video kebakaran gudang kimia yang memakan tiga orang korban pada 2018 lalu. ;Pengerahan akhir sebanyak 34 unit dan pemadaman seluruhnya berhasil dinyatakan selesai pada pukul 22.53 WIB di hari yang sama. Dengan demikian, warga yang khususnya memiliki kerabat di wilayah yang dimaksud diminta untuk tenang dan tidak perlu khawatir. ;""Semoga kita semua selalu terhindar dari bencana apapun,"" ujar Humas Jakfire. ;",kebakaran,CNN Indonesia
"Api di Rest Area KM 86 Cipali Masih Berkobar, Pemadaman Belum Selesai","Pengelola Tol Cikopo-Palimanan (Cipali) masih melakukan pemadaman kobaran api yang menyembur di rest area KM 86 B Jalan Tol Cipali. Pemadaman api di lokasi tersebut sudah berlangsug sejak Rabu (26/4). ;Direktur Operasional ASTRA Tol Cipali Agung Prasetyo mengatakan semburan api yang terjadi di rest area KM 86 B ini bukan berasal dari galian sumur bor baru. ;""Kami tidak pernah melakukan penggalian sumur bor baru di rest area KM 86 B Tol Cipali,"" kata Agung dikutip dari Antara, Kamis (27/4). ;Menurut dia, semburan api berasal dari sumur bor yang sudah ada, yang biasa digunakan untuk kebutuhan operasional sehari-hari di rest area KM 86 B. ;""Sebelumnya kami melaksanakan pemasangan pipa penyambung sebagai upaya meningkatkan kapasitas pompa submersible untuk meningkatkan layanan rest area KM 86 B,"" katanya. ;Dia menuturkan upaya pemadaman semburan api itu dilakukan bersama pihak terkait yakni Dinas Energi dan Sumber Daya Mineral (ESDM) Provinsi Jawa Barat, Badan Penanggulangan Bencana Daerah (BPBD), Dinas Pemadam Kebakaran Subang, Polres Subang, Polda Jabar, dan dibantu tim Pertamina. ;Agung pun menegaskan tidak ada ledakan dalam peristiwa itu. Menurutnya, hanya terjadi semburan api saja. ;Adapun sejak Rabu, rest area KM 86 B Jalan Tol Cipali ditutup sementara akibat munculnya semburan api di kawasan tersebut. ;Menurut Agung, penutupan kawasan rest area tersebut oleh ASTRA Tol Cipali demi menjamin keamanan serta keselamatan bagi tenant, pengunjung, dan warga di sekitar. ;ASTRA Tol Cipali terus melakukan observasi di lapangan bersama dengan pihak-pihak terkait agar semburan api di lokasi bisa segera padam. ;""Kami memohon maaf yang sebesar-besarnya kepada para tenant, pengunjung dan masyarakat atas ketidaknyamanan yang terjadi. Kami terus melakukan upaya pemadaman semburan api di lokasi dengan berkoordinasi dengan pihak-pihak terkait,"" katanya.",kebakaran,CNN Indonesia
"Kebakaran Hebat di Kampung Coklat Blitar, Tak Ada Korban Jiwa","Kebakaran melanda lokasi wisata Kampung Coklat di Desa Plosorejo, Kecamatan Kademangan, Kabupaten Blitar saat libur Lebaran 2023. ;Kasi Humas Polres Blitar Iptu Udiyono mengemukakan kejadian kebakaran itu berawal dari area sekolah memasak (cooking class) di lokasi wisata itu. Api kemudian merembet dan menjadi besar. ;""Diduga dari oven yang mengeluarkan asap. Kejadian kebakaran sebenarnya diketahui oleh penjaga, tapi karena malam hari pintunya terkunci jadi belum bisa dibuka. Warga sebenarnya juga mau membantu (memadamkan api),"" katanya saat dikonfirmasi Antara, Rabu (26/4). ;Ia mengatakan polisi yang mendapatkan laporan kejadian kebakaran itu langsung koordinasi dengan pemadam kebakaran. Mereka kemudian datang dan memadamkan api. ;Sekitar satu jam kemudian api berhasil dipadamkan. Saat berita ini diturunkan masih dilakukan proses pendinginan di lokasi yang terbakar. ;Sementara itu, untuk kerugian, ia mengatakan ditaksir sekitar Rp500 juta. Dari laporan yang masuk, kerugian berupa materi, sedangkan korban luka dan korban jiwa nihil. ;Pemilik Wisata Kampung Coklat Blitar Kholid Mustofa mengatakan titik kebakaran memang awal terlihat di area sekolah memasak itu dengan luasan 10x10 meter. Namun, kebakaran merembet hingga sekitar 25 meter luasnya, sekitar 5 persen dari luas wisata Kampung Coklat Blitar. ;""Mungkin 5 persen dari luasan di Kampung Coklat. Itu area produksi, 5 persen dari luasan yang ada. Alhamdulillah tidak ada korban jiwa, luka tidak ada. Bangunan saja, kerugiannya sekitar Rp500 juta,"" katanya. ;Walaupun terjadi kebakaran, pihaknya mengatakan lokasi wisata masih tetap buka seperti biasa. Pengunjung masih bisa memanfaatkan titik lainnya untuk berwisata di libur Lebaran 2023 ini seperti area bermain, hingga galeri umum. Untuk lokasi terbakar ditutup sementara dan segera dilakukan pembersihan. ;",kebakaran,CNN Indonesia
"Kebakaran di Jakut Hanguskan Puluhan Rumah, Diduga Korsleting Listrik","Kebakaran melanda 30 rumah petak yang berlokasi di Jalan Kampung Muka, Kelurahan Ancol, Kecamatan Pademangan, Jakarta Utara, Selasa (25/4) sekitar pukul 13.00 WIB. ;""Objek (kebakaran) rumah, 30 rumah petak,"" kata Kasi Ops Gulkamart Jakarta Utara Abdul Wahid dalam keterangannya. ;Kata Abdul, sebanyak 18 unit mobil pemadam kebakaran dan 90 personel dikerahkan ke lokasi untuk menjinakkan si jago merah. ;Abdul menuturkan proses pemadaman mulai dilakukan sekitar pukul 13.05 WIB dan dan operasi pemadaman selesai pada pukul 14.25 WIB. ;Dugaan sementara kebakaran itu disebabkan korsleting listrik pada sebuah rumah kosong dan menyambar ke bangunan lainnya. ;""Korsleting listrik pada rumah kosong, menyambar rumah petak hingga membesar,"" ucap dia. ;Lebih lanjut, Abdul menyebut total luas area yang terbakar dalam peristiwa ini seluas 20x15 meter. Total ada 30 kepala keluarga (KK) yang kehilangan tempat tinggal. ;""(Jumlah) KK 30, jumlah jiwa 120,"" ujarnya. ;",kebakaran,CNN Indonesia
